Certification,View,Comment_num,Date,Name,Fans,Video_Index,Comment_Text,Censor_Score,Topic,Certification_Type,Emotion_Detail,Sentiment_Label
2,693000,8352,"(2021, 12, 8)",卢克文工作室,4368342,122,几十年还认英国？？？,1,Hong Kong Protests,Influencer,厌恶,negative
4,1740000,18000,"(2019, 11, 17)",浙江共青团,1543514,6,港警一脸懵逼系列，这干嘛呢,10,Hong Kong Protests,Government,厌恶,negative
5,1908000,13000,"(2019, 11, 20)",中国日报,2994319,173,武汉理工大学表示强烈谴责,5,Hong Kong Protests,Media,厌恶,negative
1,274000,917,"(2024, 11, 2)",蓝星人-ET,1135236,176,手机不插卡也可以打报警电话,7,Hong Kong Protests,Famous Content Creator,厌恶,negative
5,466000,13000,"(2020, 7, 5)",央视新闻,20926845,56,这时候王嘉尔在哪儿,10,Hong Kong Protests,Media,惊讶,negative
4,1740000,18000,"(2019, 11, 17)",浙江共青团,1543514,6,我人民解放军见到老美都不带虚的，这几个毛头小子简直跳梁小丑,7,Hong Kong Protests,Government,厌恶,negative
6,4351000,15000,"(2023, 4, 18)",中国反邪教,717685,157,丢脸丢到国外去了,10,Hong Kong Protests,Organization,厌恶,negative
5,466000,13000,"(2020, 7, 5)",央视新闻,20926845,56,致敬,4,Hong Kong Protests,Media,喜欢,positive
1,1112000,4255,"(2024, 12, 9)",世界需要恐怖片,489577,115,别那么带入啊，电影而已,2,Hong Kong Protests,Famous Content Creator,厌恶,negative
0,327000,376,"(2023, 12, 2)",好大富贵,90,19,蟑螂,3,Hong Kong Protests,None,厌恶,negative
0,473000,3433,"(2019, 8, 31)",观视频工作室,3926463,38,大佬嘬茶,3,Hong Kong Protests,None,喜欢,positive
4,185000,381,"(2019, 11, 23)",广东共青团,1724625,47,移民过去的,2,Hong Kong Protests,Government,厌恶,negative
4,3337000,7578,"(2019, 8, 29)",浙江共青团,1543514,77,新化人吗？,9,Hong Kong Protests,Government,厌恶,negative
1,1560000,16000,"(2024, 10, 18)",勾手老大爷邓肯,2085321,111,逝者安息,9,Hong Kong Protests,Famous Content Creator,悲伤,negative
1,1280000,9914,"(2024, 6, 16)",人间放映厅,1153155,113,到国内好吃好喝，不满意去了国外，当司机也满意了,10,Hong Kong Protests,Famous Content Creator,开心,positive
0,500000,2506,"(2023, 6, 11)",好吃的脆脆酱,2535,97,是同一个人吗？,6,Hong Kong Protests,None,厌恶,negative
5,2757000,3649,"(2019, 10, 13)",央视网,4775152,75,憨批行为,7,Hong Kong Protests,Media,厌恶,negative
0,2178,130,"(2023, 4, 15)",王大嘉然,517,116,不错,10,Hong Kong Protests,None,喜欢,positive
1,3479000,22000,"(2021, 4, 30)",毒舌的南瓜,2299715,4,天哪,10,Hong Kong Protests,Famous Content Creator,厌恶,negative
4,1950000,44000,"(2019, 8, 17)",共青团中央,11416573,130,我们广东没有这种败类,7,Hong Kong Protests,Government,厌恶,negative
0,234000,2935,"(2023, 8, 30)",毒蛊酱,93973,143,前面的放泥马,3,Hong Kong Protests,None,厌恶,negative
1,274000,917,"(2024, 11, 2)",蓝星人-ET,1135236,176,這調查就怪了，學校也應該一次兩次訓練過非慣用手持槍開槍,10,Hong Kong Protests,Famous Content Creator,厌恶,negative
4,2751000,32000,"(2019, 8, 7)",浙江共青团,1543514,24,S686教你做人,10,Hong Kong Protests,Government,喜欢,positive
2,1420000,6991,"(2021, 4, 20)",卢克文工作室,4368337,71,福建NB,7,Hong Kong Protests,Influencer,厌恶,negative
4,497000,2488,"(2019, 8, 23)",浙江共青团,1543514,67,这一切改结束了,7,Hong Kong Protests,Government,厌恶,negative
0,790000,4123,"(2023, 8, 20)",毒蛊酱,93973,152,大嫂是没看错人啊,7,Hong Kong Protests,None,惊讶,negative
0,500000,2506,"(2023, 6, 11)",好吃的脆脆酱,2535,97,这完全是人的问题好吧，看着态度万一她是独呢,3,Hong Kong Protests,None,厌恶,negative
1,877000,14000,"(2019, 10, 25)",马督工,2037056,49,抚州每天早上一碗泡米粉,10,Hong Kong Protests,Famous Content Creator,厌恶,negative
5,1632000,8230,"(2019, 11, 27)",央视新闻,20926839,3,中国加油！！！！！！,6,Hong Kong Protests,Media,喜欢,positive
0,234000,2935,"(2023, 8, 30)",毒蛊酱,93973,143,这表情真像李老八,9,Hong Kong Protests,None,厌恶,negative
4,3337000,7578,"(2019, 8, 29)",浙江共青团,1543514,77,湘军威武,10,Hong Kong Protests,Government,喜欢,positive
5,466000,13000,"(2020, 7, 5)",央视新闻,20926845,56,中国加油！！！！,4,Hong Kong Protests,Media,喜欢,positive
1,360000,1673,"(2023, 12, 29)",胆子不小的郑吉祥,936878,169,她老婆才是最大赢家，平平安安脱身,6,Hong Kong Protests,Famous Content Creator,喜欢,positive
4,2751000,32000,"(2019, 8, 7)",浙江共青团,1543514,24,山东脏话,5,Hong Kong Protests,Government,厌恶,negative
0,790000,4123,"(2023, 8, 20)",毒蛊酱,93973,152,逆天,6,Hong Kong Protests,None,惊讶,negative
1,1112000,4255,"(2024, 12, 9)",世界需要恐怖片,489577,115,fw,8,Hong Kong Protests,Famous Content Creator,厌恶,negative
4,1046000,9192,"(2019, 11, 18)",安徽共青团,472282,39,打死me啦！,9,Hong Kong Protests,Government,生气,negative
4,260000,1141,"(2019, 9, 2)",广东共青团,1724625,63,你老了,2,Hong Kong Protests,Government,悲伤,negative
4,1368000,37000,"(2020, 5, 18)",共青团中央,11416573,1,冯骁666,10,Hong Kong Protests,Government,喜欢,positive
5,182000,720,"(2019, 12, 2)",中国日报,2994317,33,这也太......,2,Hong Kong Protests,Media,厌恶,negative
4,1740000,18000,"(2019, 11, 17)",浙江共青团,1543514,6,正道的光,8,Hong Kong Protests,Government,厌恶,negative
0,782000,3330,"(2025, 2, 18)",不挑瓜的猫堡,20368,65,回头来看，早点跑路很明智,8,Hong Kong Protests,None,喜欢,positive
4,1044000,3825,"(2019, 11, 2)",广东共青团,1724625,22,校长,8,Hong Kong Protests,Government,厌恶,negative
4,1394000,11000,"(2019, 10, 27)",共青团中央,11416573,31,乌克兰穷的一批,7,Hong Kong Protests,Government,厌恶,negative
0,398000,1427,"(2023, 9, 28)",春典JARGON,180958,90,救命 拿东北腔进香港故事也怪好笑的,5,Hong Kong Protests,None,开心,positive
4,1368000,37000,"(2020, 5, 18)",共青团中央,11416573,1,啊这，恨着别人然后拆自几家己家，,8,Hong Kong Protests,Government,厌恶,negative
5,1992000,16000,"(2019, 11, 20)",央视新闻,20926845,66,犯我中华者，虽远必诛。,7,Hong Kong Protests,Media,厌恶,negative
5,1556000,2437,"(2022, 1, 11)",中国日报,2994317,106,联系中国大使馆,3,Hong Kong Protests,Media,厌恶,negative
2,2255000,16000,"(2021, 4, 22)",卢克文工作室,4368332,5,哈哈  乐死我了  变打杂的了,9,Hong Kong Protests,Influencer,开心,positive
0,782000,3330,"(2025, 2, 18)",不挑瓜的猫堡,20368,65,要我也,5,Hong Kong Protests,None,喜欢,positive
0,609000,2146,"(2022, 1, 8)",陌路狂欢GO,15838,147,都特么的不知道报警,10,Hong Kong Protests,None,生气,negative
5,261000,539,"(2019, 12, 4)",中国日报,2994317,83,是全民代表,7,Hong Kong Protests,Media,喜欢,positive
0,234000,2935,"(2023, 8, 30)",毒蛊酱,93973,143,录像太糊了，看不出…,6,Hong Kong Protests,None,厌恶,negative
0,97000,719,"(2024, 6, 5)",油管小师妹,29134,102,都是一个国家。,1,Hong Kong Protests,None,厌恶,negative
4,1044000,3825,"(2019, 11, 2)",广东共青团,1724625,22,太惨了 ,6,Hong Kong Protests,Government,悲伤,negative
0,252000,1299,"(2024, 12, 9)",DJ_HUMBLE,25979,12,拿19年说事啊？,9,Hong Kong Protests,None,厌恶,negative
2,2255000,16000,"(2021, 4, 22)",卢克文工作室,4368332,5,哈哈哈哈哈,9,Hong Kong Protests,Influencer,开心,positive
1,274000,917,"(2024, 11, 2)",蓝星人-ET,1135236,176,致敬,6,Hong Kong Protests,Famous Content Creator,喜欢,positive
4,2976000,22000,"(2019, 11, 19)",广东共青团,1724625,21,看到这一幕，我突然又觉得无菌包和杨永信是一类人才,5,Hong Kong Protests,Government,惊讶,negative
4,1046000,9192,"(2019, 11, 18)",安徽共青团,472282,39,去死!不要污染空气!,7,Hong Kong Protests,Government,厌恶,negative
0,790000,4123,"(2023, 8, 20)",毒蛊酱,93973,152,这都能跑了,3,Hong Kong Protests,None,厌恶,negative
4,3059000,5478,"(2020, 7, 5)",广东共青团,1724625,11,开枪,7,Hong Kong Protests,Government,厌恶,negative
4,1044000,3825,"(2019, 11, 2)",广东共青团,1724625,22,周星驰声音很低沉磁性的，不像,10,Hong Kong Protests,Government,厌恶,negative
4,4898000,11000,"(2019, 11, 17)",浙江共青团,1543514,72,自己为什么不一起动手啊,5,Hong Kong Protests,Government,厌恶,negative
4,3486000,5414,"(2021, 7, 14)",广东共青团,1724625,139,？？,8,Hong Kong Protests,Government,厌恶,negative
5,466000,13000,"(2020, 7, 5)",央视新闻,20926845,56,致敬,4,Hong Kong Protests,Media,喜欢,positive
5,294000,1578,"(2019, 9, 9)",中国日报,2994317,26,动抢吧，不然没用。,2,Hong Kong Protests,Media,厌恶,negative
1,877000,14000,"(2019, 10, 25)",马督工,2037056,49,留学生表示，国内大学你一年6万都不要嫌贵，欧美一般是9万+，更不要说住宿费了,9,Hong Kong Protests,Famous Content Creator,厌恶,negative
1,1560000,16000,"(2024, 10, 18)",勾手老大爷邓肯,2085321,111,真造孽。。,9,Hong Kong Protests,Famous Content Creator,厌恶,negative
4,2355000,46000,"(2019, 7, 23)",共青团中央,11416574,93,江苏脏话,8,Hong Kong Protests,Government,厌恶,negative
5,1556000,2437,"(2022, 1, 11)",中国日报,2994317,106,希望大使馆帮忙保护一下,10,Hong Kong Protests,Media,喜欢,positive
1,862000,2890,"(2022, 9, 14)",我是十四哦丶,522434,170,成为我的儿子吧,7,Hong Kong Protests,Famous Content Creator,喜欢,positive
1,877000,14000,"(2019, 10, 25)",马督工,2037056,49,这抗议的方式。。。。,10,Hong Kong Protests,Famous Content Creator,厌恶,negative
2,2010000,3539,"(2021, 4, 19)",卢克文工作室,4368336,58,我于潇表示，打野太难了！,6,Hong Kong Protests,Influencer,厌恶,negative
4,1650000,190,"(2020, 3, 3)",青春山东,461528,118,过街老鼠,6,Hong Kong Protests,Government,厌恶,negative
4,2751000,32000,"(2019, 8, 7)",浙江共青团,1543514,24,中国万岁,5,Hong Kong Protests,Government,喜欢,positive
0,97000,719,"(2024, 6, 5)",油管小师妹,29134,102,该,1,Hong Kong Protests,None,厌恶,negative
4,1950000,44000,"(2019, 8, 17)",共青团中央,11416573,130,无耻老贼！岂不知天下之人，皆愿生啖你肉，安敢在此饶舌！,8,Hong Kong Protests,Government,厌恶,negative
4,1044000,3825,"(2019, 11, 2)",广东共青团,1724625,22,又是这大哥,10,Hong Kong Protests,Government,喜欢,positive
4,1283000,2811,"(2019, 6, 14)",共青团中央,11416570,175,支持发言人,9,Hong Kong Protests,Government,喜欢,positive
1,1560000,16000,"(2024, 10, 18)",勾手老大爷邓肯,2085321,111,逝者安息,10,Hong Kong Protests,Famous Content Creator,悲伤,negative
4,1325000,3509,"(2019, 10, 11)",青春山东,461528,161,麻烦镜头给一下那些吠得最大声的狗,10,Hong Kong Protests,Government,厌恶,negative
4,259000,629,"(2019, 10, 26)",广东共青团,1724625,40,哈哈哈哈哈哈哈哈,6,Hong Kong Protests,Government,开心,positive
0,609000,2146,"(2022, 1, 8)",陌路狂欢GO,15838,147,唉…,7,Hong Kong Protests,None,悲伤,negative
0,153000,617,"(2023, 6, 8)",香港青年,20889,87,同性恋不替他背这个锅,1,Hong Kong Protests,None,厌恶,negative
0,790000,4123,"(2023, 8, 20)",毒蛊酱,93973,152,好可爱啊猎豹的脸,7,Hong Kong Protests,None,喜欢,positive
5,7810000,71000,"(2021, 2, 19)",央视新闻,20926850,96,阿三是個沒有信譽的民族，它們一占小便宜為榮！,10,Hong Kong Protests,Media,厌恶,negative
4,1394000,11000,"(2019, 10, 27)",共青团中央,11416573,31,爱因斯坦风评被害,7,Hong Kong Protests,Government,厌恶,negative
0,790000,4123,"(2023, 8, 20)",毒蛊酱,93973,152,这也属实是三级片中的战斗机了,7,Hong Kong Protests,None,厌恶,negative
5,466000,13000,"(2020, 7, 5)",央视新闻,20926845,56,冲冲冲冲冲,9,Hong Kong Protests,Media,开心,positive
4,1740000,18000,"(2019, 11, 17)",浙江共青团,1543514,6,一看就是出来打球，路被堵了，顺便清一下,6,Hong Kong Protests,Government,厌恶,negative
2,464000,4814,"(2021, 5, 5)",探骊探世界,240082,183,能冷静说明他心里明镜似的，啥都知道就是装糊涂,8,Hong Kong Protests,Influencer,厌恶,negative
5,1906000,4894,"(2020, 7, 4)",央视新闻,20926844,30,三只出生。,10,Hong Kong Protests,Media,惊讶,positive
4,555000,414,"(2021, 4, 9)",广东共青团,1724625,110,妙啊，这是高人,1,Hong Kong Protests,Government,惊讶,positive
0,790000,4123,"(2023, 8, 20)",毒蛊酱,93973,152,猎豹老演员了,6,Hong Kong Protests,None,喜欢,positive
2,464000,4814,"(2021, 5, 5)",探骊探世界,240082,183,很好谦虚使人进步,4,Hong Kong Protests,Influencer,喜欢,positive
5,466000,13000,"(2020, 7, 5)",央视新闻,20926845,56,致敬,5,Hong Kong Protests,Media,喜欢,positive
4,564000,2060,"(2020, 6, 13)",广东共青团,1724625,44,我也爱你啊,10,Hong Kong Protests,Government,喜欢,positive
0,87000,100,"(2024, 1, 24)",三石头G,3206,43,那是类似气弹枪的，非致命武器。像橡皮子弹,6,Hong Kong Protests,None,厌恶,negative
4,1368000,37000,"(2020, 5, 18)",共青团中央,11416573,1,警报后不听劝告的直接击毙,10,Hong Kong Protests,Government,厌恶,negative
4,565000,4642,"(2019, 9, 1)",广东共青团,1724625,68,？？？？,8,Hong Kong Protests,Government,厌恶,negative
5,466000,13000,"(2020, 7, 5)",央视新闻,20926845,56,致敬！！,7,Hong Kong Protests,Media,喜欢,positive
4,1394000,11000,"(2019, 10, 27)",共青团中央,11416573,31,恶毒的dog,6,Hong Kong Protests,Government,厌恶,negative
4,3486000,5414,"(2021, 7, 14)",广东共青团,1724625,139,一身黑衣，这是黑社会吧,9,Hong Kong Protests,Government,厌恶,negative
5,2757000,3649,"(2019, 10, 13)",央视网,4775152,75,这是没找到狠人家啊,9,Hong Kong Protests,Media,生气,negative
1,1560000,16000,"(2024, 10, 18)",勾手老大爷邓肯,2085321,111,逝者安息,6,Hong Kong Protests,Famous Content Creator,悲伤,negative
5,1556000,2437,"(2022, 1, 11)",中国日报,2994317,106,那些人见不见啊！,9,Hong Kong Protests,Media,厌恶,negative
4,2355000,46000,"(2019, 7, 23)",共青团中央,11416574,93,马达加斯加共和国脏话,7,Hong Kong Protests,Government,厌恶,negative
5,261000,539,"(2019, 12, 4)",中国日报,2994317,83,朋友来了有美酒，敌人来了有猎枪,4,Hong Kong Protests,Media,厌恶,negative
4,1325000,3509,"(2019, 10, 11)",青春山东,461528,161,HSS,5,Hong Kong Protests,Government,厌恶,negative
2,693000,8352,"(2021, 12, 8)",卢克文工作室,4368342,122,你认为的对，是不是真的对,10,Hong Kong Protests,Influencer,厌恶,negative
5,466000,13000,"(2020, 7, 5)",央视新闻,20926845,56,致敬         致敬    致敬           致敬 致敬     致敬       致敬,7,Hong Kong Protests,Media,喜欢,positive
5,466000,13000,"(2020, 7, 5)",央视新闻,20926845,56,是美国人挑唆的吗？？？,6,Hong Kong Protests,Media,厌恶,negative
2,464000,4814,"(2021, 5, 5)",探骊探世界,240082,183,交叉论证，正常逻辑分析，确,8,Hong Kong Protests,Influencer,厌恶,negative
5,432000,2513,"(2020, 7, 4)",央视新闻,20926842,18,还无期徒刑就地枪毙吧,6,Hong Kong Protests,Media,厌恶,negative
4,564000,2060,"(2020, 6, 13)",广东共青团,1724625,44,才5年，头目必须无期,5,Hong Kong Protests,Government,厌恶,negative
0,500000,2506,"(2023, 6, 11)",好吃的脆脆酱,2535,97,打火机十二？,5,Hong Kong Protests,None,厌恶,negative
2,1420000,6991,"(2021, 4, 20)",卢克文工作室,4368337,71,当时我们还不够强大,10,Hong Kong Protests,Influencer,悲伤,negative
4,1215000,3887,"(2019, 11, 18)",广东共青团,1724625,20,败类,9,Hong Kong Protests,Government,厌恶,negative
4,1077000,4387,"(2019, 11, 15)",共青团中央,11416572,151,欧盟和美国搞得,5,Hong Kong Protests,Government,厌恶,negative
5,2757000,3649,"(2019, 10, 13)",央视网,4775152,75,丧尽天良，不配为人，滚出中国！,10,Hong Kong Protests,Media,厌恶,negative
4,594000,2542,"(2020, 6, 11)",广东共青团,1724625,15,唉。。自由是要建立在自律上的。。要不然不就是动物？动物世界却也有自然规矩的,3,Hong Kong Protests,Government,厌恶,negative
0,335000,1040,"(2024, 7, 12)",老咩头,57976,164,这么多,6,Hong Kong Protests,None,厌恶,negative
0,252000,1299,"(2024, 12, 9)",DJ_HUMBLE,25979,12,人太多了,1,Hong Kong Protests,None,厌恶,negative
1,1112000,4255,"(2024, 12, 9)",世界需要恐怖片,489577,115,太降智了,4,Hong Kong Protests,Famous Content Creator,厌恶,negative
5,1524000,12000,"(2021, 4, 14)",央视新闻,20926840,10,李嘉诚呢？,6,Hong Kong Protests,Media,厌恶,negative
5,466000,13000,"(2020, 7, 5)",央视新闻,20926845,56,阿sir加油！,9,Hong Kong Protests,Media,喜欢,positive
5,29000,473,"(2020, 7, 28)",国防时报TV,1618482,9,好心酸,6,Hong Kong Protests,Media,悲伤,negative
4,1447000,23000,"(2019, 8, 13)",青春山东,461528,121,浙江人民请求出站,10,Hong Kong Protests,Government,厌恶,negative
5,466000,13000,"(2020, 7, 5)",央视新闻,20926845,56,脊梁骨！,8,Hong Kong Protests,Media,喜欢,positive
5,1908000,13000,"(2019, 11, 20)",中国日报,2994319,173,有本事你来内陆试试？,7,Hong Kong Protests,Media,厌恶,negative
5,294000,1578,"(2019, 9, 9)",中国日报,2994317,26,丢人现眼,5,Hong Kong Protests,Media,厌恶,negative
2,464000,4814,"(2021, 5, 5)",探骊探世界,240082,183,都五五开了。还一小部分,10,Hong Kong Protests,Influencer,厌恶,negative
5,938000,2435,"(2020, 5, 27)",央视新闻,20926845,60,抓到枪毙好吗,7,Hong Kong Protests,Media,厌恶,negative
4,1193000,16000,"(2019, 8, 9)",浙江共青团,1543514,84,我爱中国！！！,6,Hong Kong Protests,Government,喜欢,positive
4,2866000,2482,"(2019, 11, 8)",浙江共青团,1543514,81,沒錯！寸土不讓！,10,Hong Kong Protests,Government,喜欢,positive
0,609000,2146,"(2022, 1, 8)",陌路狂欢GO,15838,147,你们好啊，三点多不睡觉,1,Hong Kong Protests,None,开心,positive
